district,address,longitude,latitude,total_price,unit_price,
中山區,臺北市中山區民生東路一段61巷1號,121.52651,25.058389,30000,350,
中山區,臺北市中山區渭水路3巷31號,121.533701,25.046019,50000,506,
士林區,臺北市士林區天母東路8巷1號,121.532396,25.117574,17000,599,
大安區,臺北市大安區復興南路二段148巷31號,121.541757,25.028355,45600,544,
中山區,臺北市中山區松江路511號,121.533695,25.069538,40000,335,
萬華區,臺北市萬華區武昌街二段61號,121.507032,25.044874,350000,434,
內湖區,臺北市內湖區民權東路六段181號,121.596953,25.068045,80000,622,
中正區,臺北市中正區羅斯福路四段31號,121.535197,25.014248,138500,1550,
松山區,臺北市松山區光復南路32巷1號,121.557515,25.046791,58000,429,
松山區,臺北市松山區民生東路五段241號,121.56775,25.059348,37000,656,
大安區,臺北市大安區仁愛路四段151巷31號,121.55195,25.040119,50000,1891,
中山區,臺北市中山區農安街181號,121.531856,25.064955,60000,261,
信義區,臺北市信義區富陽街61號,121.556486,25.022078,45000,330,
大安區,臺北市大安區大安路一段181號,121.546105,25.036257,215000,407,
萬華區,臺北市萬華區環河南路三段91號,121.490592,25.025249,20000,218,
大安區,臺北市大安區金山南路二段31號,121.527233,25.033069,120000,295,
大安區,臺北市大安區忠孝東路三段181號,121.539057,25.041999,110000,1372,
松山區,臺北市松山區光復北路151號,121.556883,25.053358,58000,506,
大安區,臺北市大安區復興南路二段210巷5弄1號,121.542678,25.026751,59312,416,
內湖區,臺北市內湖區東湖路1號,121.612366,25.069031,125000,1180,
北投區,臺北市北投區裕民四路1號,121.516009,25.115639,50000,602,
大安區,臺北市大安區仁愛路四段122巷1號,121.550678,25.037531,56760,373,
中山區,臺北市中山區建國北路一段138巷1號,121.536263,25.051049,28000,411,
大同區,臺北市大同區南京西路31號,121.519993,25.052873,750000,2621,
大同區,臺北市大同區重慶北路三段120巷1號,121.513176,25.0674,25000,408,
北投區,臺北市北投區石牌路二段1號,121.517526,25.120263,160000,1466,
大安區,臺北市大安區忠孝東路三段251巷8弄1號,121.541513,25.043079,74000,760,
士林區,臺北市士林區文林路714巷1號,121.520936,25.10261,26000,325,
萬華區,臺北市萬華區武昌街二段121號,121.503136,25.045577,35000,458,
大安區,臺北市大安區信義路四段53巷1號,121.545156,25.033615,51084,637,
大安區,臺北市大安區敦化南路一段252巷1號,121.547867,25.039867,315000,1352,
內湖區,臺北市內湖區港華街1號,121.577867,25.082317,30000,278,
中山區,臺北市中山區龍江路301號,121.540811,25.060885,102168,750,
中正區,臺北市中正區羅斯福路二段151號,121.520401,25.029797,120000,500,
大安區,臺北市大安區敦化南路二段81巷1號,121.549342,25.030086,140000,901,
內湖區,臺北市內湖區成功路二段320巷1號,121.589242,25.067911,43000,195,
士林區,臺北市士林區磺溪街1號,121.523392,25.108972,90000,603,
內湖區,臺北市內湖區成功路三段61號,121.590135,25.077352,90810,733,
內湖區,臺北市內湖區成功路三段61號,121.590135,25.077352,68112,693,
內湖區,臺北市內湖區金湖路31號,121.596026,25.082951,45000,418,
大安區,臺北市大安區復興南路二段151巷1號,121.543749,25.028513,51500,617,
中山區,臺北市中山區長安東路二段91號,121.534847,25.048526,70000,813,
內湖區,臺北市內湖區港墘路127巷1號,121.576198,25.077919,30650,372,
萬華區,臺北市萬華區東園街28巷31號,121.494796,25.02639,12000,305,
大安區,臺北市大安區仁愛路四段361號,121.554504,25.038054,80000,1107,
大安區,臺北市大安區四維路198巷39弄1號,121.545922,25.027585,17000,239,
大安區,臺北市大安區忠孝東路三段271號,121.542632,25.041946,136223,1424,
大同區,臺北市大同區寧夏路91號,121.514871,25.059674,40000,417,
北投區,臺北市北投區中和街31號,121.502711,25.137983,65000,957,
內湖區,臺北市內湖區內湖路一段441巷1號,121.57218,25.081328,95000,628,
松山區,臺北市松山區南京東路四段75巷1號,121.553801,25.052073,70000,281,
北投區,臺北市北投區立農街一段301號,121.50664,25.11955,28000,477,
中山區,臺北市中山區中山北路一段61號,121.521876,25.049996,50000,523,
信義區,臺北市信義區逸仙路31號,121.561575,25.041246,160000,642,
文山區,臺北市文山區景文街31號,121.541429,24.992427,180000,429,
中山區,臺北市中山區北安路518巷14弄1號,121.545198,25.079436,48000,351,
北投區,臺北市北投區大興街121號,121.502915,25.13099,20000,282,
士林區,臺北市士林區文林路1號,121.521579,25.101524,200000,3879,
信義區,臺北市信義區松山路541號,121.578302,25.037684,65000,561,
中山區,臺北市中山區林森北路271號,121.525568,25.055182,181632,1909,
中山區,臺北市中山區德惠街181號,121.5322,25.066671,46000,516,
中山區,臺北市中山區長安東路二段1號,121.530129,25.04866,90000,748,
