location,villiage,MRT_min_distance,MRT_count_500,MRT_count_1000,mall_distance500,mall_distance1000,school_distance500,school_distance1000,school_distance1500,spot_distance_1000,spot_distance_2000,spot_distance_3000,spot_distance_4000,spot_distance_5000,pop_total,male_ratio,female_ratio,pop_density,average_age,pop_20_59,pop_ratio_20_59,pop_ratio_0_4,pop_ratio_5_9,pop_ratio_10_14,pop_ratio_15_19,pop_ratio_20_24,pop_ratio_25_29,pop_ratio_30_34,pop_ratio_35_39,pop_ratio_40_44,pop_ratio_45_49,pop_ratio_50_54,pop_ratio_55_59,pop_ratio_60_64,pop_ratio_65_69,pop_ratio_70_74,pop_ratio_75_79,pop_ratio_80_84,pop_ratio_85_89,pop_ratio_90_94,pop_ratio_95_99,pop_ratio_100_up,doctorate,master,bachelor,high_school,junior_high_school,elementary_school,self-taught,illiterate,median_income,buying_power_index,index_of_retail_saturation,rental_cost,success
迷客夏南港店,,0.3,1,3,1,2,0,3,4,0,0,0,4,4,8050,0.483602484,0.516397516,7628.698236,38.94547286,4851,0.610880242,0.080846241,0.059438358,0.029215464,0.038030475,0.049993704,0.054149351,0.068757083,0.106913487,0.107543131,0.082105528,0.072534945,0.068883012,0.058430928,0.054527138,0.029341393,0.016874449,0.012089158,0.007429795,0.002644503,0.000251857,0,0.022592873,0.161031084,0.508263836,0.189385898,0.056557998,0.057771039,0.0015163,0.00288097,988,0.041726568,681187333.8,397,1
迷客夏天母店,,0.8,0,1,1,2,1,5,5,1,5,6,8,10,5595,0.46899017,0.53100983,38233.63825,44.91751136,3133,0.547535827,0.044215309,0.034603286,0.036176162,0.040720028,0.054176861,0.057846907,0.064313177,0.074099965,0.06571129,0.071128976,0.083711989,0.076546662,0.083537225,0.07217756,0.0515554,0.036700454,0.022544565,0.020272632,0.007689619,0.001747641,0.000524292,0.018562401,0.135663507,0.532582938,0.203791469,0.053317536,0.052725118,0.000789889,0.002567141,754,0.102633099,901552356.4,558,1
迷客夏士林店,,0.2,3,4,0,0,2,8,15,3,7,10,14,19,3918,0.482388974,0.517611026,29897.91205,43.34082959,2247,0.561469265,0.042728636,0.044977511,0.040229885,0.043728136,0.055972014,0.060969515,0.064217891,0.082708646,0.08195902,0.070464768,0.076961519,0.068215892,0.069465267,0.059470265,0.046226887,0.041729135,0.025737131,0.017491254,0.005747126,0.0009995,0,0.009455587,0.072492837,0.46017192,0.271346705,0.079942693,0.100573066,0.002005731,0.004011461,668,0.102633099,901552356.4,1284,1
迷客夏雙連店,,0.2,1,6,0,5,4,7,15,3,18,22,36,46,5272,0.483877086,0.516122914,42189.91055,41.14896009,2969,0.55630504,0.050028106,0.057710324,0.059209294,0.047030167,0.044594341,0.053588158,0.058085067,0.090500281,0.095934045,0.07288739,0.06651677,0.074198988,0.062394604,0.056023984,0.036724752,0.031478359,0.02379614,0.01274124,0.005059022,0.001311598,0.000187371,0.008547009,0.086819613,0.45591543,0.274403959,0.077372919,0.08974359,0.002024291,0.005173189,676,0.046560732,677679895.4,1212.666667,1
迷客夏圓山店,,0.7,0,1,0,0,1,7,7,2,10,15,27,38,3991,0.487597093,0.512402907,21871.30684,44.186702,2383,0.574078535,0.043603951,0.039990364,0.030835943,0.041194893,0.052035654,0.062153698,0.060467357,0.082630691,0.090580583,0.0746808,0.073235365,0.078294387,0.066971814,0.066730908,0.045049386,0.035654059,0.030354132,0.017345218,0.006263551,0.001686341,0.000240906,0.011969532,0.09031556,0.436615887,0.269314472,0.085418934,0.099292709,0.001360174,0.005712731,640,0.046560732,677679895.4,340,1
迷客夏延吉店,,0.6,0,3,1,2,0,5,9,2,10,14,19,29,4765,0.464008395,0.535991605,44046.25476,44.45308366,2526,0.514146143,0.046000407,0.053124364,0.042947283,0.042336658,0.046611032,0.05007124,0.053327906,0.076124567,0.07144311,0.068797069,0.069204152,0.078567067,0.078770609,0.079788317,0.048035823,0.034194993,0.029106452,0.01750458,0.009769998,0.003663749,0.000610625,0.019691578,0.171055753,0.560142349,0.17485172,0.039857651,0.030604982,0.00118624,0.002609727,830,0.125342505,1003156621,1088.333333,1
迷客夏大安店,,0.6,0,4,1,6,1,16,17,1,10,15,27,39,5733,0.460491889,0.539508111,39342.74082,44.56971438,2968,0.501605543,0.041406118,0.054588474,0.051039378,0.045124218,0.043265168,0.050701369,0.044279196,0.068277844,0.07740409,0.067263816,0.069798885,0.080615177,0.078756126,0.080108163,0.054588474,0.036335981,0.026195707,0.018590502,0.007943214,0.003211087,0.000507014,0.026946701,0.165841094,0.565088171,0.177927482,0.037646126,0.024370913,0.000198138,0.001981375,865,0.125342505,1003156621,492.3333333,1
迷客夏政大店,,1,0,0,0,0,2,7,6,2,3,13,16,26,8733,0.481850452,0.518149548,2930.995705,40.63959678,5099,0.577528599,0.039868615,0.056518292,0.05901008,0.054026504,0.064673236,0.061728395,0.058330502,0.070562918,0.074753653,0.083474912,0.084720806,0.079284177,0.071808812,0.049269453,0.031034092,0.022992411,0.017555782,0.013365047,0.004757051,0.00181221,0.000453052,0.039426043,0.15582674,0.479683519,0.20611506,0.052568057,0.059139064,0.000938715,0.006302803,816,0.096850182,1276190798,369.3333333,1
迷客夏興隆店,,0.2,1,2,0,0,4,4,8,0,1,1,5,7,5983,0.47852248,0.52147752,9519.043659,42.70093771,3560,0.596115204,0.042364367,0.035666443,0.033489618,0.046718017,0.062625586,0.067146685,0.066979236,0.090087073,0.081044876,0.076691226,0.077026122,0.074514401,0.076021433,0.065639652,0.041862023,0.025954454,0.015740121,0.012056263,0.006530476,0.001507033,0.000334896,0.015642669,0.115718055,0.488126649,0.234451564,0.068978515,0.071240106,0.001507727,0.004334715,709,0.096850182,1276190798,441.3333333,1
迷客夏小巨蛋店,,0.7,0,1,0,1,1,4,7,2,6,11,18,32,4398,0.467712597,0.532287403,48066.98058,43.51391672,2301,0.512358049,0.037185482,0.055444222,0.063014919,0.045646849,0.042974839,0.046760187,0.053217546,0.073034959,0.084836339,0.080160321,0.066354932,0.065018927,0.069917613,0.075484302,0.053217546,0.036962815,0.023380094,0.015141394,0.007793365,0.003785348,0.000668003,0.01714135,0.157436709,0.529008439,0.210179325,0.04193038,0.04193038,0.000791139,0.001582278,787,0.08152381,858932317.5,1167.333333,1
迷客夏南京店,,1.3,0,0,0,0,0,6,8,1,11,13,14,20,8375,0.475701493,0.524298507,39983.91538,43.99214353,5003,0.586655722,0.041744841,0.038461538,0.026383677,0.041041276,0.054409006,0.062617261,0.073170732,0.086186679,0.08032364,0.071177298,0.075750469,0.083020638,0.073991557,0.07293621,0.043269231,0.028025328,0.021927767,0.016533771,0.007035647,0.001876173,0.000117261,0.011681323,0.111300696,0.500590629,0.228507678,0.063262895,0.077831736,0.001837511,0.004987531,683,0.08152381,858932317.5,477.3333333,1
迷客夏西門町店,,0.2,1,4,8,9,3,5,7,9,22,24,32,40,3748,0.459711846,0.540288154,26275.98299,45.01412873,2210,0.578231293,0.053113553,0.034013605,0.021978022,0.031135531,0.041862899,0.044740973,0.064364207,0.094976452,0.095761381,0.086080586,0.078231293,0.072213501,0.082679226,0.073783359,0.049188906,0.027472527,0.019623234,0.01674516,0.008634223,0.002354788,0.001046572,0.020851689,0.092217327,0.45256975,0.263436123,0.091923642,0.074008811,0.000587372,0.004405286,701,0.068733215,1220539682,1408.666667,1
五十嵐長春店,,0.4,2,4,1,3,1,2,7,2,6,10,29,40,10398,0.467782266,0.532217734,29142.23595,38.26997902,5472,0.521838642,0.053404539,0.078390235,0.089357238,0.058363532,0.044249475,0.04215144,0.047873355,0.078008774,0.096795728,0.084016784,0.071810032,0.056933054,0.056170132,0.050352851,0.035952699,0.025367156,0.014686248,0.009727255,0.004958993,0.001049018,0.000381461,0.020693033,0.161993388,0.56826252,0.182686421,0.032080323,0.033059875,0.000489776,0.000734664,986,0.08152381,858932317.5,882.6666667,1
五十嵐伊通店,,0.2,1,2,0,3,0,5,6,0,11,18,32,53,3703,0.466648663,0.533351337,14900.94973,42.2590441,2056,0.542909955,0.041721679,0.057037233,0.055452865,0.048323211,0.053076314,0.052548191,0.056245049,0.07525746,0.078162134,0.083443359,0.079746501,0.064430948,0.071296541,0.063374703,0.043570108,0.029046739,0.02297333,0.013203063,0.007657777,0.003168735,0.000264061,0.013112707,0.122073057,0.543552919,0.216047456,0.053699657,0.050577584,0,0.000936622,719,0.091203468,450445974.8,957.6666667,1
五十嵐大直北安店,,0.2,1,2,0,2,2,3,4,0,4,5,10,20,9319,0.473226741,0.526773259,14033.70058,41.78902426,5078,0.528793086,0.047901697,0.050921587,0.065292096,0.046339686,0.048422368,0.055086952,0.059356451,0.08809747,0.080703947,0.067895449,0.063730084,0.065500364,0.068520254,0.071331875,0.049671978,0.031344372,0.018952411,0.012391961,0.006352182,0.001562012,0.000624805,0.017565716,0.156098169,0.539554005,0.190980441,0.044599477,0.047963124,0.000747477,0.002491591,770,0.091203468,450445974.8,636.3333333,1
五十嵐南西店,,0.1,2,4,2,10,2,4,11,3,19,24,40,46,4529,0.475160079,0.524839921,20860.86657,46.20997145,2438,0.535471118,0.042389633,0.032725675,0.029431144,0.033823852,0.0459038,0.054908851,0.06259609,0.092686141,0.069404788,0.061497913,0.06501208,0.083461454,0.095321766,0.080166923,0.056226664,0.03250604,0.02965078,0.022842082,0.00812651,0.001317812,0,0.016188374,0.119941133,0.49546235,0.229335296,0.07162129,0.063527103,0.000735835,0.003188619,685,0.091203468,450445974.8,1628,1
五十嵐R79店,,0.1,2,4,0,10,2,6,11,2,19,24,39,45,4529,0.475160079,0.524839921,20860.86657,46.20997145,2438,0.535471118,0.042389633,0.032725675,0.029431144,0.033823852,0.0459038,0.054908851,0.06259609,0.092686141,0.069404788,0.061497913,0.06501208,0.083461454,0.095321766,0.080166923,0.056226664,0.03250604,0.02965078,0.022842082,0.00812651,0.001317812,0,0.016188374,0.119941133,0.49546235,0.229335296,0.07162129,0.063527103,0.000735835,0.003188619,685,0.091203468,450445974.8,1928.333333,1
五十嵐合江店,,0.4,1,3,0,1,0,4,5,1,7,13,25,42,7532,0.477827934,0.522172066,38544.96292,44.98351433,4205,0.550176632,0.037943216,0.03558812,0.035195604,0.046578569,0.046186053,0.055213921,0.061101662,0.084652623,0.079288238,0.070914562,0.077194819,0.075624755,0.078241528,0.079157399,0.051550438,0.036896507,0.021326704,0.019102447,0.006149418,0.001831741,0.000261677,0.01247798,0.131972989,0.510569583,0.221520846,0.060628303,0.059453905,0.000587199,0.002789196,753,0.091203468,450445974.8,822,1
