區域別,里名,人口密度
臺北市文山區,萬芳里,23673.96355
臺北市文山區,博嘉里,1445.820414
臺北市文山區,萬興里,2930.995705
臺北市文山區,指南里,639.4160298
臺北市文山區,老泉里,240.3905082
臺北市文山區,忠順里,29070.25016
臺北市文山區,萬美里,10156.90291
臺北市文山區,政大里,2860.523545
臺北市文山區,樟文里,30931.03399
臺北市文山區,興邦里,23427.9075
臺北市文山區,樟樹里,64073.28363
臺北市南港區,南港里,15734.43838
臺北市南港區,中南里,2210.062217
臺北市南港區,新富里,23699.38477
臺北市南港區,三重里,7628.698236
臺北市南港區,東新里,30846.7027
臺北市南港區,新光里,2496.049079
臺北市南港區,東明里,15936.45768
臺北市南港區,西新里,10239.58661
臺北市南港區,玉成里,11680.25477
臺北市南港區,合成里,22864.84189
臺北市南港區,成福里,15235.8954
臺北市南港區,萬福里,40399.18122
臺北市南港區,鴻福里,38428.46967
臺北市南港區,百福里,18954.31755
臺北市南港區,聯成里,40934.13388
臺北市南港區,舊莊里,1680.02045
臺北市南港區,中研里,10168.93302
臺北市南港區,九如里,917.4742603
臺北市南港區,仁福里,16973.79022
臺北市南港區,重陽里,14135.67208
臺北市內湖區,西湖里,15884.19559
臺北市內湖區,西康里,8225.401875
臺北市內湖區,西安里,5419.402901
臺北市內湖區,港墘里,8848.657247
臺北市內湖區,港都里,46341.36216
臺北市內湖區,港富里,26794.84203
臺北市內湖區,港華里,14150.61787
臺北市內湖區,內湖里,39718.80548
臺北市內湖區,湖濱里,12780.05688
臺北市內湖區,紫星里,36757.2625
臺北市內湖區,大湖里,1926.763304
臺北市內湖區,金龍里,32005.95206
臺北市內湖區,金瑞里,2937.959686
臺北市內湖區,碧山里,1929.623427
臺北市內湖區,紫雲里,15929.04309
臺北市內湖區,清白里,22659.18722
臺北市內湖區,葫洲里,33476.40774
臺北市內湖區,紫陽里,19971.23956
臺北市內湖區,瑞陽里,42394.32625
臺北市內湖區,瑞光里,31102.49062
臺北市內湖區,五分里,37257.86586
臺北市內湖區,東湖里,51129.0794
臺北市內湖區,樂康里,49157.97456
臺北市內湖區,內溝里,1117.32883
臺北市內湖區,週美里,19036.20235
臺北市內湖區,行善里,20101.72818
臺北市內湖區,石潭里,3331.523736
臺北市內湖區,湖興里,8110.370595
臺北市內湖區,湖元里,2348.668834
臺北市內湖區,安湖里,49576.72719
臺北市內湖區,秀湖里,12484.10447
臺北市內湖區,安泰里,4900.428446
臺北市內湖區,金湖里,12169.20776
臺北市內湖區,康寧里,27595.37795
臺北市內湖區,明湖里,68584.51778
臺北市內湖區,蘆洲里,1798.956063
臺北市內湖區,麗山里,35146.4455
臺北市內湖區,寶湖里,18046.76677
臺北市內湖區,南湖里,17021.53356
臺北市士林區,仁勇里,29897.91205
臺北市士林區,義信里,14887.84262
臺北市士林區,福林里,1457.187495
臺北市士林區,福德里,20490.45698
臺北市士林區,福志里,21576.73048
臺北市士林區,舊佳里,36601.87521
臺北市士林區,福佳里,15467.5576
臺北市士林區,後港里,14414.49785
臺北市士林區,福中里,26641.94521
臺北市士林區,前港里,27844.12512
臺北市士林區,百齡里,47506.2986
臺北市士林區,承德里,43597.78544
臺北市士林區,福華里,42704.70589
臺北市士林區,明勝里,16891.06367
臺北市士林區,福順里,23831.80384
臺北市士林區,富光里,18992.16406
臺北市士林區,葫蘆里,24444.80991
臺北市士林區,葫東里,21430.12426
臺北市士林區,社子里,17899.74399
臺北市士林區,社新里,23220.56443
臺北市士林區,社園里,36683.08858
臺北市士林區,永倫里,11398.39637
臺北市士林區,福安里,1921.166348
臺北市士林區,富洲里,1992.46786
臺北市士林區,岩山里,6883.476534
臺北市士林區,名山里,18422.79375
臺北市士林區,德行里,22920.89237
臺北市士林區,德華里,19857.87433
臺北市士林區,聖山里,46584.94234
臺北市士林區,忠誠里,38233.63825
臺北市士林區,芝山里,7036.93746
臺北市士林區,東山里,3449.885211
臺北市士林區,三玉里,10936.69691
臺北市士林區,蘭雅里,41899.43145
臺北市士林區,蘭興里,24247.68086
臺北市士林區,天福里,32181.84551
臺北市士林區,天祿里,37986.59896
臺北市士林區,天壽里,24732.70805
臺北市士林區,天和里,19458.81371
臺北市士林區,天山里,40853.64502
臺北市士林區,天玉里,35580.50515
臺北市士林區,天母里,3670.577022
臺北市士林區,永福里,857.2920356
臺北市士林區,公館里,788.8911363
臺北市士林區,新安里,949.357145
臺北市士林區,陽明里,1400.661288
臺北市士林區,菁山里,135.4622285
臺北市士林區,平等里,234.3352516
臺北市士林區,溪山里,151.4831837
臺北市士林區,翠山里,1693.018176
臺北市士林區,臨溪里,1309.496151
臺北市北投區,建民里,4034.345594
臺北市北投區,文林里,38537.28514
臺北市北投區,石牌里,47658.61175
臺北市北投區,福興里,21222.64074
臺北市北投區,榮光里,54927.43256
臺北市北投區,榮華里,19709.10388
臺北市北投區,裕民里,44179.4393
臺北市北投區,振華里,27664.33841
臺北市北投區,永和里,5814.824696
臺北市北投區,永欣里,10820.45145
臺北市北投區,永明里,43366.14838
臺北市北投區,東華里,9363.263472
臺北市北投區,吉利里,42691.71912
臺北市北投區,吉慶里,14721.98228
臺北市北投區,尊賢里,64680.27435
臺北市北投區,立賢里,12742.79119
臺北市北投區,立農里,27951.23455
臺北市北投區,八仙里,1436.83812
臺北市北投區,洲美里,1444.240018
臺北市北投區,奇岩里,6130.523759
臺北市北投區,清江里,40240.93745
臺北市北投區,中央里,42165.83243
臺北市北投區,長安里,32079.12487
臺北市北投區,大同里,8021.73644
臺北市北投區,溫泉里,27233.69528
臺北市北投區,林泉里,1973.504394
臺北市北投區,中心里,17335.90135
臺北市北投區,中庸里,41205.92579
臺北市北投區,開明里,16871.56047
臺北市北投區,中和里,27269.30296
臺北市北投區,智仁里,58194.59468
臺北市北投區,秀山里,2807.063359
臺北市北投區,文化里,8466.252054
臺北市北投區,豐年里,6772.271357
臺北市北投區,稻香里,5026.580309
臺北市北投區,桃源里,4825.488886
臺北市北投區,一德里,2792.850838
臺北市北投區,關渡里,7041.173169
臺北市北投區,泉源里,468.8614774
臺北市北投區,湖山里,436.9622702
臺北市北投區,大屯里,288.380906
臺北市北投區,湖田里,57.2189481
